Variable,Period,Group,N,Mean,Median [Q1–Q3],Min,Max,Variance,p-value
total_unlocks,Previous 15 days,E.PD,186,28.704,25.500 [15.000–39.000],1.0,89.0,358.047,3.84e-01
total_unlocks,Previous 15 days,no-E.PD,970,30.672,26.000 [15.000–43.750],0.0,114.0,425.263,3.84e-01
total_communication,First 15 days,E.PD,276,1824.725,991.500 [0.000–2726.000],0.0,12327.0,5121629.815,3.85e-01
total_communication,First 15 days,no-E.PD,1094,1968.969,1056.500 [292.250–2552.000],0.0,24027.0,7411408.561,3.85e-01
total_communication,Previous 15 days,E.PD,253,1398.561,582.000 [0.000–2199.000],0.0,12007.0,3789716.2,1.84e-08
total_communication,Previous 15 days,no-E.PD,1223,2068.371,1350.000 [391.000–2764.000],0.0,34228.0,7869672.345,1.84e-08
total_social_networks,First 15 days,E.PD,276,1549.373,77.000 [0.000–1203.250],0.0,22408.0,13597709.958,5.52e-03
total_social_networks,First 15 days,no-E.PD,1094,1277.144,0.000 [0.000–1257.000],0.0,36025.0,8589242.497,5.52e-03
total_social_networks,Previous 15 days,E.PD,253,1486.589,0.000 [0.000–839.000],0.0,19034.0,11999011.537,7.33e-01
total_social_networks,Previous 15 days,no-E.PD,1223,1347.149,0.000 [0.000–1536.000],0.0,41556.0,9475994.718,7.33e-01
total_others,First 15 days,E.PD,276,5584.464,3054.000 [0.000–7294.000],0.0,47983.0,61468089.791,2.12e-05
total_others,First 15 days,no-E.PD,1094,7067.339,4774.500 [1607.250–9440.000],0.0,55056.0,62813272.689,2.12e-05
total_others,Previous 15 days,E.PD,253,5739.289,1832.000 [0.000–7371.000],0.0,40325.0,72420279.246,6.84e-09
total_others,Previous 15 days,no-E.PD,1223,7266.151,4841.000 [2002.000–9005.000],0.0,53910.0,73674456.894,6.84e-09
deep_time,First 15 days,E.PD,222,7467.297,6510.000 [3420.000–9825.000],180.0,27660.0,29830008.047,6.96e-01
deep_time,First 15 days,no-E.PD,860,7008.907,6060.000 [3960.000–9135.000],120.0,31440.0,19714964.578,6.96e-01
deep_time,Previous 15 days,E.PD,177,6328.814,4980.000 [3120.000–8400.000],120.0,23040.0,21247899.153,8.80e-03
deep_time,Previous 15 days,no-E.PD,981,7203.547,6180.000 [3780.000–9240.000],180.0,26640.0,22993011.077,8.80e-03
light_time,First 15 days,E.PD,236,18433.22,18000.000 [14430.000–22455.000],3120.0,36000.0,38449141.926,1.14e-01
light_time,First 15 days,no-E.PD,877,17573.295,17520.000 [13860.000–20940.000],1140.0,41820.0,30989724.859,1.14e-01
light_time,Previous 15 days,E.PD,187,18885.561,19140.000 [16080.000–21810.000],2160.0,33480.0,27887693.635,1.16e-04
light_time,Previous 15 days,no-E.PD,997,17338.977,17340.000 [13140.000–21240.000],1860.0,40920.0,32124508.591,1.16e-04
rem_time,First 15 days,E.PD,195,4284.615,3840.000 [2130.000–5970.000],60.0,12180.0,7147432.197,5.36e-02
rem_time,First 15 days,no-E.PD,728,4694.918,4320.000 [2640.000–6420.000],60.0,15060.0,7384119.938,5.36e-02
rem_time,Previous 15 days,E.PD,165,4342.545,3720.000 [2340.000–5580.000],60.0,13800.0,7428088.603,1.16e-04
rem_time,Previous 15 days,no-E.PD,840,5133.786,4920.000 [3000.000–7035.000],60.0,22020.0,7750137.737,1.16e-04
emotions_valence_pred,First 15 days,E.PD,227,1.189,1.000 [1.000–2.000],0.0,2.0,0.641,2.00e-02
emotions_valence_pred,First 15 days,no-E.PD,839,1.066,1.000 [1.000–2.000],0.0,2.0,0.546,2.00e-02
emotions_valence_pred,Previous 15 days,E.PD,285,1.218,2.000 [0.000–2.000],0.0,2.0,0.783,3.34e-05
emotions_valence_pred,Previous 15 days,no-E.PD,1534,0.991,1.000 [0.000–2.000],0.0,2.0,0.715,3.34e-05
